item_id,stratum,regex_flag,event_id,event_state_all,url,sentence_index,repeat_of_item
L001,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0006,lab: contamination reported,https://www.antaranews.com/berita/5483438/satgas-penyebab-keracunan-mbg-aceh-selatan-akibat-kontaminasi-bakteri,10,
L002,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0533,lab: contamination reported,https://yogyakarta.kompas.com/read/2026/09/09/220155678/dugaan-keracunan-mbg-di-bantul-diy-11-siswa-belum-masuk-dan-sekolah-setop,0,
L003,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0083,awaiting lab / cause unknown,https://www.antaranews.com/berita/5135741/satgas-mbg-karimun-selidiki-dugaan-keracunan-mbg,2,
L004,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0674,lab: contamination reported,https://www.detik.com/bali/nusra/d-8339346/terungkap-susu-mbg-pemicu-keracunan-38-siswa-di-lombok-mengandung-bakteri,8,
L005,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0768,lab: contamination reported,https://www.cnnindonesia.com/nasional/20251001160620-20-1279833/bpom-314-siswa-sulteng-keracunan-tuna-mbg-akibat-kadar-histamin,2,
L006,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0816,awaiting lab / cause unknown,https://www.kadera.id/2025/07/27/diduga-keracunan-mbg-sampel-darah-17-siswa-smkn-5-ternate-diperiksa/,11,
L007,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0742,lab: result reported clean,https://www.liputan6.com/regional/read/6269049/ketua-satgas-mbg-manggarai-barat-ntt-soal-ratusan-siswa-keracunan-tunggu-penyebab-pasti,13,
L008,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0090,lab: contamination reported,https://www.detik.com/sumbagsel/berita/d-8083844/dapur-mbg-diduga-sebabkan-ratusan-siswa-di-bengkulu-keracunan-ditutup,2,
L009,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0646,"samples taken, no result stated",https://surabaya.kompas.com/read/2026/04/22/062810578/makanan-mbg-diduga-basi-guru-dan-siswa-di-bangkalan-dirawat,8,
L010,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0755,lab: contamination reported,https://regional.kompas.com/read/2025/10/01/165518078/hasil-lab-keluar-dinkes-sebut-penyebab-keracunan-mbg-di-mamuju-diduga,3,
L011,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0657,awaiting lab / cause unknown,https://www.detik.com/jatim/berita/d-8594122/201-siswa-dari-3-sekolah-kediri-mual-hingga-diare-diduga-usai-makan-mbg,1,
L012,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0062,lab: contamination reported,https://www.detik.com/sumbagsel/berita/d-8115988/hasil-laboratorium-btkl-sebut-keracunan-mbg-di-oki-karena-bakteri-e-coli,11,
L013,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0289,awaiting lab / cause unknown,https://koran.pikiran-rakyat.com/news/pr-3039659563/korban-keracunan-mbg-di-garut-capai-657-siswa-bupati-janji-evaluasi-menyeluruh,57,
L014,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0451,lab: contamination reported,https://www.antaranews.com/berita/5681913/menkes-ungkap-temuan-bakteri-pada-kasus-keracunan-mbg-papua-semarang,0,
L015,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0035,lab: contamination reported,https://regional.kompas.com/read/2026/09/11/185930778/menu-mbg-penyebab-keracunan-di-agam-mengandung-bakteri-ahli-bukti-kegagalan,5,
L016,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0454,lab: contamination reported,https://www.antaranews.com/berita/5406526/dinkes-hasil-lab-tunjukkan-mbg-sppg-di-kudus-terkontaminasi-ecoli,1,
L017,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0140,lab: result reported clean,https://kupastuntas.co/2026/04/24/ratusan-siswa-sman-6-diduga-keracunan-mbg-dapur-way-lunik-disetop-sementara,18,
L018,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0389,lab: contamination reported,https://regional.kompas.com/read/2026/05/10/172157778/sppg-klaten-disetop-usai-ratusan-siswa-keracunan-mbg-air-positif-bakteri-e,7,
L019,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0456,lab: contamination reported,https://regional.kompas.com/read/2026/03/04/164410478/uji-lab-temukan-bakteri-di-menu-mbg-smkn-4-pati-sppg-margorejo-dihentikan,0,
L020,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0035,lab: contamination reported,https://regional.kompas.com/read/2026/09/10/202940978/kasus-keracunan-mbg-terulang-pemkab-agam-perketat-pengawasan-dapur-sppg,5,
L021,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0221,awaiting lab / cause unknown,https://www.kompas.com/jawa-barat/read/2025/04/22/130503388/dinkes-periksa-dapur-mbg-di-cianjur-usai-puluhan-siswa-keracunan,10,
L022,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0102,lab: result reported clean,https://www.antaranews.com/berita/5450563/bgn-pastikan-kematian-siswa-di-bengkulu-utara-tak-terkait-mbg,1,
L023,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0236,lab: contamination reported,https://www.detik.com/jabar/berita/d-7926302/dinkes-ungkap-penyebab-keracunan-massal-di-smpn-35-bandung,1,
L024,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0083,awaiting lab / cause unknown,https://www.antaranews.com/berita/5135397/dinkes-uji-lab-sampel-mbg-yang-diduga-picu-keracunan-siswa-di-karimun,9,
L025,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0456,lab: contamination reported,https://regional.kompas.com/read/2026/02/14/154556978/kasus-keracunan-mbg-di-pati-sppg-belum-operasi-hingga-hasil-lab-keluar-guru,20,
L026,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0466,awaiting lab / cause unknown,https://regional.kompas.com/read/2026/04/21/211235978/buntut-keracunan-mbg-di-demak-wagub-jateng-minta-distribusi-dan-konsumsi,17,
L027,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0425,lab: contamination reported,https://www.detik.com/jateng/berita/d-8133239/26-siswa-di-kebumen-diduga-keracunan-mbg-dipulangkan-dari-rs,24,
L028,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0304,lab: contamination reported,https://health.detik.com/diet/d-8145435/mengenal-senyawa-nitrit-pemicu-keracunan-mbg-di-bandung-barat,30,
L029,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0620,awaiting lab / cause unknown,https://surabaya.kompas.com/read/2026/05/14/182004878/dinkes-surabaya-ungkap-dugaan-penyebab-keracunan-mbg-dapur-kotor-slhs-belum,9,
L030,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0335,lab: contamination reported,https://bandung.kompas.com/read/2025/10/19/214857278/2-kasus-keracunan-mbg-di-kabupaten-bogor-dinkes-temukan-kontaminasi,4,
L031,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0478,lab: contamination reported,https://yogyakarta.kompas.com/read/2025/08/20/164930478/497-siswa-kulon-progo-keracunan-3-jenis-bakteri-berbahaya-ditemukan-di,2,
L032,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0504,"samples taken, no result stated",https://www.detik.com/jogja/berita/d-8096710/5-anak-mual-muntah-usai-santap-mbg-di-gunungkidul-dinkes-diduga-keracunan-makanan,6,
L033,FLAG_AWAITING,awaiting,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0620,awaiting lab / cause unknown,https://surabaya.kompas.com/read/2026/05/11/225411378/sppg-tembok-dukuh-surabaya-ditutup-sementara-imbas-200-siswa-keracunan-mbg,8,
L034,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0804,lab: contamination reported,https://www.cnnindonesia.com/nasional/20260911180218-20-1402945/keracunan-massal-mbg-toraja-ayam-bumbu-kuning-positif-bakteri,8,
L035,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0165,"samples taken, no result stated",https://regional.kompas.com/read/2025/09/29/123007978/pemkot-palangka-raya-percepat-sertifikat-higiene-dapur-mbg-usai-instruksi,4,
L036,FLAG_AWAITING,awaiting,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0666,lab: contamination reported,https://www.liputan6.com/news/read/8283621/kepala-bgn-ungkap-kronologi-ratusan-santri-di-sidoarjo-keracunan-mbg,21,
L037,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0183,lab: contamination reported,https://www.detik.com/kalimantan/berita/d-8614428/puluhan-siswa-di-bontang-sakit-usai-santap-mbg-2-kepala-sppg-dicopot,1,
L038,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0637,awaiting lab / cause unknown,https://afu.id/humaniora/keracunan-mbg-77-siswa-dan-guru-di-trenggalek-alami-diare-massal,18,
L039,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0304,lab: contamination reported,https://nasional.kompas.com/read/2025/10/04/08455081/nitrit-di-melon-dan-lotek-jadi-biang-kerok-keracunan-mbg-di-bandung-barat,9,
L040,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0286,lab: contamination reported,https://www.detik.com/jabar/berita/d-8485739/bukan-bakteri-ini-penyebab-63-balita-keracunan-mbg-cianjur,10,
