item_id,"event (place, date, venue)",article title,outlet,article date,sentence before,SENTENCE TO LABEL,sentence after,url,label,about this event?,notes
L001,"Aceh Selatan, 2026-02-26 - PAUD (Spesifik tidak disebutkan); SMA (Spesifik tidak disebutkan)",Satgas: Penyebab keracunan MBG Aceh Selatan akibat kontaminasi bakteri,antaranews.com,2026-03-18,"""Hasil uji sampel tersebut menjadi pedoman dan bahan masukan untuk tindak lanjut bagi instansi dan pengambil kebijakan terkait sesuai dengan kewenangan berdasarkan peraturan perundang-undangan,"" kata Diva Samudra Putra.","Ia menyebutkan hasil laboratorium menunjukkan bahwa dari lima sampel makanan yang diperiksa ditemukan adanya cemaran mikroba, seperti Bacillus cereus, Staphylococcus aureus, dan Salmonella.","""Bakteri tersebut menyebabkan mual, muntah, dan diare.",https://www.antaranews.com/berita/5483438/satgas-penyebab-keracunan-mbg-aceh-selatan-akibat-kontaminasi-bakteri,,,
L002,"Bantul, 2026-09-04 - TK KB Mawar Harapan; KB Teratai Ceria; SDN 1 Sumberagung; SD Patalan; SD Sawahan; SD Kembangsongo",Dugaan Keracunan MBG di Bantul DIY: 11 Siswa Belum Masuk dan Sekolah Setop MBG,yogyakarta.kompas.com,2026-09-09,,"YOGYAKARTA, KOMPAS.com - Sebanyak 11 siswa SDN 1 Sumberagung, Kapanewon Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta (DIY), masih belum masuk sekolah pada Rabu (9/9/2026), setelah sebelumnya puluhan siswa dan sejumlah guru diduga mengalami keracunan makanan.","Sementara itu, guru yang sebelumnya sempat mengalami keluhan sudah kembali mengajar.",https://yogyakarta.kompas.com/read/2026/09/09/220155678/dugaan-keracunan-mbg-di-bantul-diy-11-siswa-belum-masuk-dan-sekolah-setop,,,
L003,"Karimun, 2025-09-25 - SMPN 2 Karimun",Satgas MBG Karimun selidiki dugaan keracunan MBG,antaranews.com,2025-09-26,"""Sudah kami kontrol, sudah dilakukan uji laboratorium sampel makannya.","Kasatgas MBG yang dipimpin Pak Wakil Bupati sedang menyelidiki sumber (keracunan), apakah benar dari Satuan Pelayanan Pemenuhan Gizi (SPPG),"" kata Iskandarsyah dikonfirmasi di Batam, Jumat.","Orang nomor satu di lingkungan Pemkab Karimun itu membenarkan sebanyak 14 siswa di SMP Negeri 2 Karimun mengalami gangguan kesehatan, seperti mual dan sakit perut usai mengkonsumsi MBG pada Kamis (25/9).",https://www.antaranews.com/berita/5135741/satgas-mbg-karimun-selidiki-dugaan-keracunan-mbg,,,
L004,"Lombok Tengah, 2026-01-17 - SDN 1 Darmaji; MI Hidayatuslohin",Terungkap! Susu MBG Pemicu Keracunan 38 Siswa di Lombok Mengandung Bakteri,detik.com,2026-02-03,"Selain itu, terdapat pula susu yang sudah kedaluwarsa tanggal 16 dan 17 Januari 2025 sehingga tidak layak edar.","Menurut hasil laboratorium itu, hanya apel dan roti pada menu MBG tersebut yang dinyatakan layak konsumsi.","""Pencegahan keracunan dalam program Makan Bergizi Gratis (MBG) memerlukan pengawasan ketat di seluruh rantai produksi, meliputi pemilihan bahan segar, penyimpanan suhu tepat, higiene penjamah makanan menggunakan alat pelindung diri (APD),"" imbuhnya.",https://www.detik.com/bali/nusra/d-8339346/terungkap-susu-mbg-pemicu-keracunan-38-siswa-di-lombok-mengandung-bakteri,,,
L005,"Palu, 2025-09-16 - SDN Inpres Boyaoge",BPOM: 314 Siswa Sulteng Keracunan Tuna MBG Akibat Kadar Histamin,cnnindonesia.com,2025-10-01,"Ratusan siswa tersebut dilarikan ke rumah sakit setelah mengalami mual, muntah, sakit perut dan pusing serta sesak nafas usai menyantap menu makanan dari MBG berupa ikan tuna goreng saus.","""Hasil uji kami itu temukan memang ada kadar histamin, terutama pada ikan tuna dan sejenisnya,"" kata Kepala BPOM Palu, Mardianto kepada wartawan, Selasa (1/10).","Mardianto menuturkan bahwa pihaknya juga menemukan sejumlah parameter yang tidak memenuhi syarat, baik dari sisi kimia maupun mikrobiologi.",https://www.cnnindonesia.com/nasional/20251001160620-20-1279833/bpom-314-siswa-sulteng-keracunan-tuna-mbg-akibat-kadar-histamin,,,
L006,"Ternate, 2025-07-22 - SMKN 5 Kota Ternate","Diduga Keracunan MBG, Sampel Darah 17 Siswa SMKN 5 Ternate Diperiksa",kadera.id,2025-07-27,Hasil pemeriksaan laboratorium hingga kini belum keluar.,“Pengecekan sampel darah untuk mengidentifikasi gejala-gejalanya yang mendekati bakteri apa.,Dan dari pangan apa?,https://www.kadera.id/2025/07/27/diduga-keracunan-mbg-sampel-darah-17-siswa-smkn-5-ternate-diperiksa/,,,
L007,"Manggarai Barat, 2026-01-29 - SDI Golo Welu 2; SDI Golo Bombong; SMPN 2 Kuwus; SMAN 1 Kuwus; SMKN 1 Kuwus",Ketua Satgas MBG Manggarai Barat NTT Soal Ratusan Siswa Keracunan: Tunggu Penyebab Pasti,liputan6.com,2026-01-31,"Selain itu, pengujian cepat terhadap kualitas air minum dan air bersih yang digunakan juga dilakukan.","Hasil pemeriksaan menunjukkan negatif terhadap bakteri E. Coli dan Total Koliform, sehingga mengindikasikan air bukan menjadi sumber masalah pada dugaan kejadian keracunan tersebut.","Namun, pemeriksaan sampel makanan tidak dapat dilakukan karena tidak tersedianya food sample bank dari produksi hari kejadian.",https://www.liputan6.com/regional/read/6269049/ketua-satgas-mbg-manggarai-barat-ntt-soal-ratusan-siswa-keracunan-tunggu-penyebab-pasti,,,
L008,"Lebong, 2025-08-28 - PAUD IT Al-Azhar; PAUD Az-Zahra; TK Al Akhlak; SD IT Al Azhar; SD IT Al-Azhar Sukabumi; SD Muhammadiyah Ujung ",Dapur MBG Diduga Sebabkan Ratusan Siswa di Bengkulu Keracunan Ditutup,detik.com,2025-08-28,Dapur MBG itu ditutup Pemerintah Provinsi (Pemprov) Bengkulu.,Wakil Gubernur Bengkulu Mian menegaskan dapur MBG yang diduga menjadi penyebab keracunan telah ditutup sementara untuk kepentingan penyelidikan.,"""Untuk sementara, pengelola dapur MBG ini dihentikan dan diinvestigasi dulu.",https://www.detik.com/sumbagsel/berita/d-8083844/dapur-mbg-diduga-sebabkan-ratusan-siswa-di-bengkulu-keracunan-ditutup,,,
L009,"Bangkalan, 2026-04-20 - SMPN 1 Blega","Makanan MBG Diduga Basi, Guru dan Siswa di Bangkalan Dirawat",surabaya.kompas.com,2026-04-22,"“Menurut keterangan dari sekolah, sayuran itu juga sudah agak berlendir serta terlihat tidak segar,” ujar Bambang.","Selain sayur, lauk nugget juga diduga dalam kondisi basi.","Setelah mencicipi makanan, guru tersebut mengalami keringat dingin dan muntah-muntah.",https://surabaya.kompas.com/read/2026/04/22/062810578/makanan-mbg-diduga-basi-guru-dan-siswa-di-bangkalan-dirawat,,,
L010,"Mamuju, 2025-09-24 - SDN Taan Galung; SMP Negeri 1 Tapalang","Hasil Lab Keluar, Dinkes Sebut Penyebab Keracunan MBG di Mamuju Diduga akibat Bakteri di Nasi",regional.kompas.com,2025-10-01,"Kepala Dinas Kesehatan Mamuju, Sita Harit Ibrahim, menjelaskan bahwa ada tiga sampel sisa MBG yang diuji di laboratorium BPOM, yaitu nasi, ayam krispi, dan semangka.","""Dari tiga sampel yang diperiksa BPOM, hanya nasi positif mengandung kuman Escherichia Coli,"" kata Sita Harit saat dikonfirmasi oleh Kompas.com.",Sita Harit juga menambahkan bahwa saus yang sebelumnya diduga sudah kedaluwarsa tidak diuji karena jenisnya berupa kemasan.,https://regional.kompas.com/read/2025/10/01/165518078/hasil-lab-keluar-dinkes-sebut-penyebab-keracunan-mbg-di-mamuju-diduga,,,
