event_id,date_start,date_end,date_precision,province,kabkota,kabkota_type,kabkota_name,kabkota_kode,kabkota_lat,kabkota_lng,kabkota_population,n_rows,venues,venue_levels,symptomatic,symptomatic_min,symptomatic_max,symptomatic_kind,symptomatic_by_subject,deaths,source_urls,incident_ids,flags
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0539,2024-10-02,2024-10-02,day,Jawa Timur,Kabupaten Nganjuk,kabupaten,Nganjuk,35.18,-7.601982862041979,111.90189545421411,1152575,1,"[""SDN Banaran I""]","[""primary""]",7,7,7,exact,"{""student"": 7}",,"[""https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0539""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0169,2025-01-13,2025-01-13,day,Kalimantan Utara,Kabupaten Nunukan,kabupaten,Nunukan,65.03,4.077076241826642,117.71891117176128,227460,1,"[""SDN 003 Nunukan Selatan""]","[""primary""]",29,29,29,exact,"{""student"": 29}",,"[""https://web.archive.org/web/20250312155351/https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0169""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0170,2025-01-13,2025-01-13,day,Kalimantan Utara,Kabupaten Nunukan,kabupaten,Nunukan,65.03,4.077076241826642,117.71891117176128,227460,1,"[""SMAN 2 Nunukan Selatan""]","[""senior_secondary""]",30,30,,lower_bound,"{""student"": 30}",,"[""https://web.archive.org/web/20250505070755/https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0170""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0219,2025-01-14,2025-01-14,day,Jawa Barat,Kabupaten Indramayu,kabupaten,Indramayu,32.12,-6.327080208332331,108.32320909838413,1980080,1,"[""TBA (Tidak Disebutkan)""]",[],6,6,6,exact,"{""student"": 6}",,"[""https://www.kompas.com/jawa-barat/read/2025/09/27/130000188/9-daerah-di-jawa-barat-tertinggi-kasus-keracunan-mbg-korban-tembus?page=all#page2""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0219""]","[""no_venue""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0361,2025-01-16,2025-01-16,day,Jawa Tengah,Kabupaten Sukoharjo,kabupaten,Sukoharjo,33.11,-7.664598872152095,110.83586765421464,916472,1,"[""SDN Dukuh 03 Sukoharjo""]","[""primary""]",50,50,50,exact,"{""student"": 50}",,"[""https://web.archive.org/web/20250505070804/https://www.metrotvnews.com/read/kELCzjnn-puluhan-siswa-sdn-dukuh-03-sukoharjo-keracunan-usai-santap-makan-bergizi-gratis""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0361""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0191,2025-01-19,2025-01-19,day,Banten,Kabupaten Pandeglang,kabupaten,Pandeglang,36.01,-6.316855430513631,106.11479446982028,1437046,1,"[""SDN 2 Alaswangi""]","[""primary""]",28,28,28,exact,"{""student"": 28}",,"[""https://web.archive.org/web/20250222022850/https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0191""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0482,2025-01-20,2025-01-20,day,DI Yogyakarta,Kabupaten Kulon Progo,kabupaten,Kulon Progo,34.01,-7.857808676282555,110.15916128305197,444994,3,"[""PAUD (Spesifik tidak disebutkan)"", ""TK (Spesifik tidak disebutkan)"", ""SD (Spesifik tidak disebutkan)""]","[""early_childhood"", ""primary""]",104,104,104,exact,"{""student"": 104}",,"[""https://yogyakarta.kompas.com/read/2026/01/23/054238878/korban-keracunan-mbg-di-kulon-progo-capai-104-orang?page=all#page3""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0482"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0483"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0484""]","[""count_shared_across_rows"", ""no_venue""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0047,2025-02-18,2025-02-18,day,Sumatera Selatan,Kabupaten Empat Lawang,kabupaten,Empat Lawang,16.11,-3.609843671060275,103.10276373795163,336783,1,"[""SD Negeri 7 Tebing Tinggi""]","[""primary""]",8,8,8,exact,"{""student"": 8}",,"[""https://web.archive.org/web/20250305140649/https://www.metrotvnews.com/play/KXyCQded-8-murid-sd-di-empat-lawang-diduga-keracunan-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0047""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0706,2025-02-18,2025-02-18,day,Nusa Tenggara Timur,Kabupaten Sumba Timur,kabupaten,Sumba Timur,53.11,-9.660787895234368,120.26131862254613,277290,1,"[""SDK Andaluri""]","[""primary""]",29,29,29,exact,"{""student"": 29}",,"[""https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0706""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0150,2025-02-25,2025-02-25,day,Kalimantan Barat,Kabupaten Kubu Raya,kabupaten,Kubu Raya,61.12,-0.12685886609816646,109.40395645418373,646091,1,"[""SDN 08 Sungai Raya""]","[""primary""]",5,5,5,exact,"{""student"": 5}",,"[""https://pontianakpost.jawapos.com/kubu-raya/1465693199/siswa-sdn-08-sungai-raya-alami-keracunan-usai-makan-makanan-program-mbg-begini-penjelasan-disdikbud-kubu-raya""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0150""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0792,2025-02-26,2025-02-26,day,Sulawesi Selatan,Kabupaten Takalar,kabupaten,Takalar,73.05,-5.4254592918321345,119.44063086993823,332863,1,"[""SD Kapunrengan""]","[""primary""]",10,10,10,exact,"{""student"": 10}",,"[""https://www.metrotvnews.com/read/bzGCRJ8g-belasan-siswa-di-takalar-diduga-keracunan-usai-makan-menu-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0792""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0793,2025-02-26,2025-02-26,day,Sulawesi Selatan,Kabupaten Takalar,kabupaten,Takalar,73.05,-5.4254592918321345,119.44063086993823,332863,1,"[""SD Bonto Ba'do""]","[""primary""]",1,1,1,exact,"{""student"": 1}",,"[""https://www.metrotvnews.com/read/bzGCRJ8g-belasan-siswa-di-takalar-diduga-keracunan-usai-makan-menu-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0793""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0794,2025-02-26,2025-02-26,day,Sulawesi Selatan,Kabupaten Takalar,kabupaten,Takalar,73.05,-5.4254592918321345,119.44063086993823,332863,1,"[""SD Lengkese""]","[""primary""]",1,1,1,exact,"{""student"": 1}",,"[""https://www.metrotvnews.com/read/bzGCRJ8g-belasan-siswa-di-takalar-diduga-keracunan-usai-makan-menu-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0794""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0362,2025-04-14,2025-04-14,day,Jawa Tengah,Kabupaten Batang,kabupaten,Batang,33.25,-6.910710871962525,109.72968238304469,855878,1,"[""SDN 5 Proyonanggan""]","[""primary""]",60,60,60,exact,"{""student"": 60}",,"[""https://nasional.kompas.com/read/2025/04/24/18431321/rentetan-keracunan-massal-mbg-lebih-dari-200-siswa-jadi-korban""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0362""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0363,2025-04-14,2025-04-14,day,Jawa Tengah,Kabupaten Batang,kabupaten,Batang,33.25,-6.910710871962525,109.72968238304469,855878,1,"[""TK Islam Al Karomah""]","[""early_childhood""]",3,3,3,exact,"{""student"": 3}",,"[""https://web.archive.org/web/20250415041303/https://www.detik.com/jateng/berita/d-7868911/viral-murid-tk-di-batang-muntah-usai-santap-mbg-dinkes-selidiki""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0363""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0221,2025-04-21,2025-04-21,day,Jawa Barat,Kabupaten Cianjur,kabupaten,Cianjur,32.03,-6.822746173673224,107.1394835830441,2638825,1,"[""MAN 1 Cianjur""]","[""senior_secondary""]",51,51,51,exact,"{""student"": 51}",,"[""https://web.archive.org/web/20250422011753/https://www.detik.com/jabar/berita/d-7879471/siswa-man-1-cianjur-keracunan-massal-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0221""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0222,2025-04-21,2025-04-21,day,Jawa Barat,Kabupaten Cianjur,kabupaten,Cianjur,32.03,-6.822746173673224,107.1394835830441,2638825,1,"[""SMP PGRI Cianjur""]","[""junior_secondary""]",52,52,52,exact,"{""student"": 52}",,"[""https://web.archive.org/web/20250424025812/https://news.okezone.com/read/2025/04/22/525/3132871/lagi-belasan-siswa-smp-1-pgri-cianjur-alami-keracunan-makanan-program-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0222""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0673,2025-04-23,2025-04-23,day,Nusa Tenggara Barat,Kabupaten Lombok Tengah,kabupaten,Lombok Tengah,52.02,-8.706131863466181,116.27003418305937,1128716,1,"[""SDN Repuk Tunjang""]","[""primary""]",5,5,5,exact,"{""student"": 5}",,"[""https://www.detik.com/bali/nusra/d-7907093/5-siswa-lombok-tengah-keracunan-menu-mbg-ada-bakteri-e-coli-di-telur""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0673""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0806,2025-04-23,2025-04-23,day,Sulawesi Tenggara,Kabupaten Bombaba,kabupaten,Bombaba,74.06,-4.747234642989351,122.0110926542551,168055,1,"[""SDN 33 Kasipute""]","[""primary""]",13,13,13,exact,"{""student"": 13}",,"[""https://merdekami.com/2025/04/gejala-diduga-keracunan-muncul-di-sdn-33-kasipute-program-makanan-gratis-disorot/""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0806""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0365,2025-04-24,2025-04-24,day,Jawa Tengah,Kabupaten Karanganyar,kabupaten,Karanganyar,33.13,-7.595516965884652,110.93964029654224,953696,1,"[""SD Wonorejo""]","[""primary""]",3,3,3,exact,"{""student"": 2, ""principal"": 1}",,"[""https://www.cnnindonesia.com/nasional/20250429174012-20-1223999/kepala-sekolah-dan-dua-siswa-di-karanganyar-diduga-keracunan-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0365""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0236,2025-04-29,2025-04-29,day,Jawa Barat,Kota Bandung,kota,Bandung,32.73,-6.910655826355507,107.60986952537303,2591763,1,"[""SMP Negeri 35 Bandung""]","[""junior_secondary""]",344,344,344,exact,"{""student"": 342, ""teacher"": 2}",,"[""https://web.archive.org/web/20250504032254/https://news.detik.com/berita/d-7897505/4-langkah-bgn-usai-bermunculan-kasus-pelajar-keracunan-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0236""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0237,2025-05-01,2025-05-01,day,Jawa Barat,Kabupaten Tasikmalaya,kabupaten,Tasikmalaya,32.06,-7.361038703594784,108.11307619839148,1996059,4,"[""Beberapa Sekolah TK"", ""SDN 1 Rajapolah"", ""SDN 2 Rajapolah"", ""SMPN 1 Rajapolah""]","[""junior_secondary"", ""primary""]",400,400,400,exact,"{""student"": 400}",,"[""https://web.archive.org/web/20250503015310/https://news.detik.com/berita/d-7896007/pelajar-di-tasikmalaya-diduga-keracunan-mbg-capai-400-orang""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0237"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0238"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0239"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0240""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0048,2025-05-05,2025-05-05,day,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,kabupaten,Penukal Abab Lematang Ilir,16.12,-3.3098740053582287,103.88405107482733,214795,14,"[""SDN 28 Talang Ubi"", ""SDN 20 Talang Ubi"", ""SDN 14 Talang Ubi"", ""SMPN 6 Talang Ubi"", ""MTs Handayani"", ""PAUD Marwah"", ""SMK 1 Handayani"", ""SMK 2 Agro"", ""PAUD Rumah Cinta"", ""TK Al Hafidz"", ""SMKN 2 Talang Ubi"", ""SDN 1 Talang Ubi"", ""SDN 2 Talang Ubi"", ""SMPN 1 Talang Ubi""]","[""early_childhood"", ""junior_secondary"", ""primary"", ""senior_secondary""]",174,174,174,exact,"{""student"": 174}",,"[""https://www.viva.co.id/berita/nasional/1821155-ratusan-siswa-keracunan-program-mbg-di-pali-sumatera-selatan-disetop-sementara?page=1""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0048"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0049"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0050"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0051"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0052"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0053"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0054"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0055"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0056"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0057"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0058"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0059"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0060"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0061""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0250,2025-05-07,2025-05-09,day,Jawa Barat,Kota Bogor,kota,Bogor,32.71,-6.595057464978462,106.79411231002724,1144108,1,"[""TK Bosowa Bina Insani""]","[""early_childhood""]",28,28,28,exact,"{""student"": 28}",,"[""https://www.tribunnews.com/nasional/2025/05/13/223-anak-di-bogor-jadi-korban-keracunan-mbg-bpom-danwali-kota-bogor-ambil-sikap""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0250""]","[""date_range""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0251,2025-05-07,2025-05-09,day,Jawa Barat,Kota Bogor,kota,Bogor,32.71,-6.595057464978462,106.79411231002724,1144108,1,"[""SD Bosowa Bina Insani""]","[""primary""]",13,13,13,exact,"{""student"": 13}",,"[""https://www.tribunnews.com/nasional/2025/05/13/223-anak-di-bogor-jadi-korban-keracunan-mbg-bpom-danwali-kota-bogor-ambil-sikap""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0251""]","[""date_range""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0252,2025-05-07,2025-05-09,day,Jawa Barat,Kota Bogor,kota,Bogor,32.71,-6.595057464978462,106.79411231002724,1144108,1,"[""SMP Bosowa Bina Insani""]","[""junior_secondary""]",96,96,96,exact,"{""student"": 96}",,"[""https://www.tribunnews.com/nasional/2025/05/13/223-anak-di-bogor-jadi-korban-keracunan-mbg-bpom-danwali-kota-bogor-ambil-sikap""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0252""]","[""date_range""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0253,2025-05-07,2025-05-09,day,Jawa Barat,Kota Bogor,kota,Bogor,32.71,-6.595057464978462,106.79411231002724,1144108,1,"[""SMA Bosowa Bina Insani""]","[""senior_secondary""]",1,1,1,exact,"{""student"": 1}",,"[""https://www.tribunnews.com/nasional/2025/05/13/223-anak-di-bogor-jadi-korban-keracunan-mbg-bpom-danwali-kota-bogor-ambil-sikap""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0253""]","[""date_range""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0254,2025-05-07,2025-05-09,day,Jawa Barat,Kota Bogor,kota,Bogor,32.71,-6.595057464978462,106.79411231002724,1144108,1,"[""SDN Kukupu 3""]","[""primary""]",8,8,8,exact,"{""student"": 8}",,"[""https://www.tribunnews.com/nasional/2025/05/13/223-anak-di-bogor-jadi-korban-keracunan-mbg-bpom-danwali-kota-bogor-ambil-sikap""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0254""]","[""date_range""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0255,2025-05-07,2025-05-09,day,Jawa Barat,Kota Bogor,kota,Bogor,32.71,-6.595057464978462,106.79411231002724,1144108,1,"[""SDN Kedung Waringin""]","[""primary""]",7,7,7,exact,"{""student"": 7}",,"[""https://www.tribunnews.com/nasional/2025/05/13/223-anak-di-bogor-jadi-korban-keracunan-mbg-bpom-danwali-kota-bogor-ambil-sikap""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0255""]","[""date_range""]"
