incident_id,source_page,table_row,event_id,date_iso,date_end_iso,date_precision,date_raw,province,province_raw,kabkota,kabkota_type,kabkota_name,kabkota_kode,kabkota_kode_match,provinsi_kode,kabkota_lat,kabkota_lng,kabkota_population,kabkota_area_km2,venue,venue_level,venue_raw,symptomatic_raw,symptomatic_kind,symptomatic,symptomatic_min,symptomatic_max,symptomatic_by_subject,symptomatic_counted,deaths_raw,deaths,deaths_counted,ref_ids,source_urls,flags
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0000,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,0,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0000,2025-09-29,2025-09-29,day,29 September 2025,Aceh,Nanggroe Aceh Darussalam,Kabupaten Aceh Utara,kabupaten,Aceh Utara,11.08,exact,11,5.07571569194339,97.30262386768965,641007,2705.045,SDN 6 Matangkuli,primary,SDN 6 Matangkuli,3 Siswa,exact,3,3,3,"{""student"": 3}",3,,,,"["":3""]","[""https://regional.kompas.com/read/2025/10/03/143203478/3-murid-sd-aceh-utara-mual-dan-muntah-diduga-setelah-makan-mbg""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0001,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,1,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0001,2026-01-24,2026-01-24,day,24 Januari 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Aceh Timur,kabupaten,Aceh Timur,11.03,exact,11,4.932736888548549,97.7838443591112,461391,5409.158,,,TBA (Tidak disebutkan),19 Siswa,exact,19,19,19,"{""student"": 19}",19,,,,"["":9""]","[""https://regional.kompas.com/read/2026/01/27/190043678/korban-keracunan-makanan-di-sekolah-cianjur-bertambah-jadi-33-siswa-12-anak""]","[""no_venue""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0002,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,2,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0002,2026-02-11,2026-02-11,day,11 Februari 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Aceh Singkil,kabupaten,Aceh Singkil,11.10,exact,11,2.2710939677616295,97.81532536767888,140461,,TK Bunga Al-Qur’an,early_childhood,TK Bunga Al-Qur’an,33 Santri,exact,33,33,33,"{""santri"": 33}",33,,,,"[""auto:0bf5a209e2""]","[""https://www.ajnn.net/news/puluhan-santri-di-aceh-singkil-diduga-keracunan-mbg-sppg-dihentikan-sementara/amp.html""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0003,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,3,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0002,2026-02-11,2026-02-11,day,11 Februari 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Aceh Singkil,kabupaten,Aceh Singkil,11.10,exact,11,2.2710939677616295,97.81532536767888,140461,,Pesantren Modern Darul Mustafa,pesantren,Pesantren Modern Darul Mustafa,33 Santri,exact,33,33,33,"{""santri"": 33}",,,,,"[""auto:0bf5a209e2""]","[""https://www.ajnn.net/news/puluhan-santri-di-aceh-singkil-diduga-keracunan-mbg-sppg-dihentikan-sementara/amp.html""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0004,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,4,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0004,2026-02-26,2026-02-26,day,26 Februari 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Bireuen,kabupaten,Bireuen,11.11,exact,11,5.207564894628741,96.72640339652622,468696,1796.959,warga Simpang Mamplam dan Pandrah,,warga Simpang Mamplam dan Pandrah,140 Warga,exact,140,140,140,"{""resident"": 140}",140,,,,"[""auto:302397c5d8""]","[""https://aceh.tribunnews.com/nanggroe/1014016/terungkap-info-awal-kasus-dugaan-keracunan-mbg-di-bireuen-warga-telepon-kepala-puskesmas""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0005,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,5,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0005,2026-09-17,2026-09-17,day,17 September 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Bireuen,kabupaten,Bireuen,11.11,exact,11,5.207564894628741,96.72640339652622,468696,1796.959,SMAN 1 Kuala,senior_secondary,SMAN 1 Kuala,17 Siswa,exact,17,17,17,"{""student"": 17}",17,,,,"[""auto:50b8cadbdc""]","[""https://prohaba.tribunnews.com/nanggroe/48626/belasan-siswadi-bireuen-didugakeracunan-mbg-aroma-ayam-sudah-tak-sedap""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0006,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,6,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0006,2026-02-26,2026-02-26,day,26 Februari 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Aceh Selatan,kabupaten,Aceh Selatan,11.01,exact,11,3.2548016392931354,97.17411233973566,239629,4174.211,,early_childhood,PAUD (Spesifik tidak disebutkan),18 Siswa,exact,18,18,18,"{""student"": 18}",18,,,,"[""auto:4dfa8f2c0f""]","[""https://www.merdeka.com/peristiwa/dinkes-tetapkan-dugaan-keracunan-makanan-bergizi-gratis-aceh-selatan-sebagai-klb-542158-mvk.html""]","[""no_venue""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0007,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,7,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0006,2026-02-26,2026-02-26,day,26 Februari 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Aceh Selatan,kabupaten,Aceh Selatan,11.01,exact,11,3.2548016392931354,97.17411233973566,239629,4174.211,,senior_secondary,SMA (Spesifik tidak disebutkan),18 Siswa,exact,18,18,18,"{""student"": 18}",,,,,"[""auto:4dfa8f2c0f""]","[""https://www.merdeka.com/peristiwa/dinkes-tetapkan-dugaan-keracunan-makanan-bergizi-gratis-aceh-selatan-sebagai-klb-542158-mvk.html""]","[""no_venue"", ""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0008,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,8,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0008,2026-09-02,2026-09-02,day,2 September 2026,Aceh,Nanggroe Aceh Darussalam,Kabupaten Bener Meriah,kabupaten,Bener Meriah,11.17,exact,11,4.702762114549044,96.86195266768776,181376,1907.399,SDN Bukit Mulie,primary,SDN Bukit Mulie,16 Orang,exact,16,16,16,"{""person"": 16}",16,,,,"[""auto:1db0df7bf1""]","[""https://gayo.tribunnews.com/bener-meriah/54004/breaking-news-belasan-siswa-sd-di-bener-meriah-diduga-keracunan-mbg-wartawan-diancam-oknum-tni""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0009,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,9,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0009,2025-10-15,2025-10-15,day,15 Oktober 2025,Sumatera Utara,Sumatera Utara,Kabupaten Toba,kabupaten,Toba,12.12,exact,12,2.3318009358602985,99.05102147349844,220508,2291.616,SD Tanding Laguboti,primary,SD Tanding Laguboti,121 Siswa,exact,121,121,121,"{""student"": 121}",121,,,,"["":4""]","[""https://metrodaily.jawapos.com/sumut/2356723516/121-orang-diduga-keracunan-mbg-di-toba-32-masih-dirawat-di-rs""]",[]
