doc_id,url,table,article_max,verdict,ratio,title
bb75514590fa,https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu,29,17.0,article reports less than table,0.59,"Puluhan Anak SD di Nunukan Keracunan MBG, Begini Penjelasan Penyedia Menu dan Perwakilan B"
7a1459e7613e,https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat,30,2556.0,article reports more than table,85.2,"Siswa SMA di Nunukan Juga Keracunan MBG, Lauk Tongkol Berulat"
60e2e6ff1f8f,https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis,29,29.0,table figure appears in article,1.0,Puluhan Siswa SDK Andaluri Diduga Keracunan Usai Santap Menu Makan Bergizi Gratis
740b58b4eb68,https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg,28,28.0,table figure appears in article,1.0,28 Siswa SD di Pandeglang Alami Gejala Keracunan Usai Santap MBG
28a0f17e6b68,https://merdekami.com/2025/04/gejala-diduga-keracunan-muncul-di-sdn-33-kasipute-program-makanan-gratis-disorot/,13,,no counts in article,,"Gejala Diduga Keracunan Muncul di SDN 33 Kasipute, Program Makanan Gratis Disorot - Merdek"
a50719c41d30,https://nasional.kompas.com/read/2025/04/24/18431321/rentetan-keracunan-massal-mbg-lebih-dari-200-siswa-jadi-korban,60,78.0,table figure appears in article,1.3,"Rentetan Keracunan Massal MBG, Lebih dari 200 Siswa Jadi Korban"
41837c358474,https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan,7,2025.0,table figure appears in article,289.29,Rentetan Kasus Keracunan MBG di Berbagai Daerah: Program Bergizi yang Kini Dikhawatirkan -
86c6227bc664,https://www.cnnindonesia.com/nasional/20250429174012-20-1223999/kepala-sekolah-dan-dua-siswa-di-karanganyar-diduga-keracunan-mbg,3,,no counts in article,,Kepala Sekolah dan Dua Siswa di Karanganyar Diduga Keracunan MBG
edf3d29c2e88,https://www.viva.co.id/berita/nasional/1821155-ratusan-siswa-keracunan-program-mbg-di-pali-sumatera-selatan-disetop-sementara?page=1,174,174.0,table figure appears in article,1.0,"Ratusan Siswa Keracunan, Program MBG di PALI Sumatera Selatan Disetop Sementara"
8285d0076d4e,https://www.detik.com/bali/nusra/d-7907093/5-siswa-lombok-tengah-keracunan-menu-mbg-ada-bakteri-e-coli-di-telur,5,5.0,table figure appears in article,1.0,"5 Siswa Lombok Tengah Keracunan Menu MBG, Ada Bakteri E-Coli di Telur"
e90765994401,https://surabaya.kompas.com/read/2026/05/24/101632678/diduga-abaikan-edaran-bgn-dan-buat-25-anak-di-jember-keracunan-sppg?page=all,25,25.0,table figure appears in article,1.0,"Diduga Abaikan Edaran BGN dan Buat 25 Anak di Jember Keracunan, SPPG Kaliwates 3 Terancam "
5c72bbbc5a08,https://joglosemarnews.com/2025/06/diare-massal-di-tk-aba-kasatriyan-kulonprogo-bakmi-mbg-diduga-jadi-pemicu/,10,10.0,table figure appears in article,1.0,"Diare Massal di TK ABA Kasatriyan Kulonprogo, Bakmi MBG Diduga Jadi Pemicu » JOGLOSEMAR NE"
76ffce7b239b,https://www.kompas.id/artikel/mereka-lemas-keracunan-mbg-di-samping-balai-kota-kupang,186,186.0,table figure appears in article,1.0,Mereka Lemas Keracunan Paket MBG di Samping Balai Kota Kupang
a191b3a05e29,https://www.kadera.id/2025/07/27/diduga-keracunan-mbg-sampel-darah-17-siswa-smkn-5-ternate-diperiksa/,17,3199.0,table figure appears in article,188.18,"Diduga Keracunan MBG, Sampel Darah 17 Siswa SMKN 5 Ternate Diperiksa"
0c55465a87bf,https://kuninganmass.com/setelah-makan-siang-gratis-puluhan-siswa-smpn-1-cilimus-sakit-perut/,30,30.0,table figure appears in article,1.0,"Setelah Makan Siang Gratis, Puluhan Siswa SMPN 1 Cilimus Sakit Perut - Kuningan Mass"
a65d6e05f203,https://koran-jakarta.com/2025-07-31/ombudsman-selidiki-dapur-mbg-usai-insiden-keracunan-makanan-di-manokwari,13,13.0,table figure appears in article,1.0,Ombudsman Selidiki Dapur MBG Usai Insiden Keracunan Makanan di Manokwari
d74247c673b8,https://www.detik.com/jabar/berita/d-8049711/32-pelajar-sukabumi-keracunan-sampel-makanan-dikirim-ke-lab,32,32.0,table figure appears in article,1.0,"32 Pelajar Sukabumi Keracunan, Sampel Makanan Dikirim ke Lab"
44f10f3e9ed5,https://www.liputan6.com/regional/read/6130634/18-siswa-di-lampung-mual-hingga-lemas-usai-santap-lele-disdikbud-perketat-pengawasan-mbg,18,30.0,table figure appears in article,1.67,"18 Siswa di Lampung Mual hingga Lemas Usai Santap Lele, Disdikbud Perketat Pengawasan MBG"
