doc_id,certainty,hedged_body,hedged_title,mech: pathogen named (incl. speculation),"mech: spoilage / off food (basi, bau, berlendir)",mech: timing / storage / temperature,"mech: hygiene / sanitation (higienis, sanitasi, SLHS)",mech: water / utensils,mech: allergy / non-food cause,mech: denies MBG link,food mentioned: ayam,food suspected: ayam,food mentioned: telur,food suspected: telur,food mentioned: ikan,food suspected: ikan,food mentioned: susu,food suspected: susu,food mentioned: tahu/tempe,food suspected: tahu/tempe,food mentioned: sayur,food suspected: sayur,food mentioned: buah,food suspected: buah,food mentioned: daging/olahan,food suspected: daging/olahan,food mentioned: mie/pasta,food suspected: mie/pasta,food mentioned: nasi,food suspected: nasi,symptom: mual,symptom: muntah,symptom: pusing,symptom: diare,symptom: sakit perut,symptom: lemas,symptom: demam,symptom: sesak,symptom: gatal/ruam,symptom: pingsan,care: rawat inap / rujuk,care: rawat jalan / puskesmas,response: SPPG halted / closed,response: KLB declared / mentioned,response: police involved,response: BGN (national agency) cited,response: BPOM cited,response: apology,response: costs covered,response: SLHS / hygiene certificate,response: DPR / legislators,response: calls for programme halt / full evaluation,domain,publish_date,venue_level,n_events,original_url,title_text,quarter
bb75514590fa,"samples taken, no result stated",True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,regional.kompas.com,2025-01-17,primary,1,https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu,"Puluhan Anak SD di Nunukan Keracunan MBG, Begini Penjelasan Penyedia Menu dan Perwakilan BGN",2025Q1
7a1459e7613e,no cause information,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,regional.kompas.com,2025-01-19,senior_secondary,1,https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat,"Siswa SMA di Nunukan Juga Keracunan MBG, Lauk Tongkol Berulat",2025Q1
60e2e6ff1f8f,"samples taken, no result stated",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,sumba.inews.id,2025-02-18,primary,1,https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis,Puluhan Siswa SDK Andaluri Diduga Keracunan Usai Santap Menu Makan Bergizi Gratis,2025Q1
740b58b4eb68,"samples taken, no result stated",False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,regional.kompas.com,2025-02-21,primary,1,https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg,28 Siswa SD di Pandeglang Alami Gejala Keracunan Usai Santap MBG,2025Q1
90d9eb5c84be,no cause information,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,metrotvnews.com,2025-02-26,,3,https://www.metrotvnews.com/read/bzGCRJ8g-belasan-siswa-di-takalar-diduga-keracunan-usai-makan-menu-mbg,Belasan Siswa di Takalar Diduga Keracunan Usai Makan Menu MBG,2025Q1
28a0f17e6b68,no cause information,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,merdekami.com,2025-04-23,primary,1,https://merdekami.com/2025/04/gejala-diduga-keracunan-muncul-di-sdn-33-kasipute-program-makanan-gratis-disorot/,"Gejala Diduga Keracunan Muncul di SDN 33 Kasipute, Program Makanan Gratis Disorot - Merdekami",2025Q2
a50719c41d30,no cause information,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,nasional.kompas.com,2025-04-24,primary,1,https://nasional.kompas.com/read/2025/04/24/18431321/rentetan-keracunan-massal-mbg-lebih-dari-200-siswa-jadi-korban,"Rentetan Keracunan Massal MBG, Lebih dari 200 Siswa Jadi Korban",2025Q2
41837c358474,no cause information,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,ntthits.com,2025-04-25,primary,1,https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan,Rentetan Kasus Keracunan MBG di Berbagai Daerah: Program Bergizi yang Kini Dikhawatirkan - NTT Hits,2025Q2
86c6227bc664,no cause information,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cnnindonesia.com,2025-04-29,primary,1,https://www.cnnindonesia.com/nasional/20250429174012-20-1223999/kepala-sekolah-dan-dua-siswa-di-karanganyar-diduga-keracunan-mbg,Kepala Sekolah dan Dua Siswa di Karanganyar Diduga Keracunan MBG,2025Q2
edf3d29c2e88,no cause information,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,viva.co.id,2025-05-07,mixed,1,https://www.viva.co.id/berita/nasional/1821155-ratusan-siswa-keracunan-program-mbg-di-pali-sumatera-selatan-disetop-sementara?page=1,"Ratusan Siswa Keracunan, Program MBG di PALI Sumatera Selatan Disetop Sementara",2025Q2
