doc_id,url,original_url,date_start,publish_date,lag_days,title_text,date_is_crawl_day
bb75514590fa,https://web.archive.org/web/20250312155351/https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu,https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu,2025-01-13,2025-01-17,4,"Puluhan Anak SD di Nunukan Keracunan MBG, Begini Penjelasan Penyedia Menu dan Perwakilan BGN",False
7a1459e7613e,https://web.archive.org/web/20250505070755/https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat,https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat,2025-01-13,2025-01-19,6,"Siswa SMA di Nunukan Juga Keracunan MBG, Lauk Tongkol Berulat",False
60e2e6ff1f8f,https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis,https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis,2025-02-18,2025-02-18,0,Puluhan Siswa SDK Andaluri Diduga Keracunan Usai Santap Menu Makan Bergizi Gratis,False
740b58b4eb68,https://web.archive.org/web/20250222022850/https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg,https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg,2025-01-19,2025-02-21,33,28 Siswa SD di Pandeglang Alami Gejala Keracunan Usai Santap MBG,False
28a0f17e6b68,https://merdekami.com/2025/04/gejala-diduga-keracunan-muncul-di-sdn-33-kasipute-program-makanan-gratis-disorot/,https://merdekami.com/2025/04/gejala-diduga-keracunan-muncul-di-sdn-33-kasipute-program-makanan-gratis-disorot/,2025-04-23,2025-04-23,0,"Gejala Diduga Keracunan Muncul di SDN 33 Kasipute, Program Makanan Gratis Disorot - Merdekami",False
a50719c41d30,https://nasional.kompas.com/read/2025/04/24/18431321/rentetan-keracunan-massal-mbg-lebih-dari-200-siswa-jadi-korban,https://nasional.kompas.com/read/2025/04/24/18431321/rentetan-keracunan-massal-mbg-lebih-dari-200-siswa-jadi-korban,2025-04-14,2025-04-24,10,"Rentetan Keracunan Massal MBG, Lebih dari 200 Siswa Jadi Korban",False
41837c358474,https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan,https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan,2024-10-02,2025-04-25,205,Rentetan Kasus Keracunan MBG di Berbagai Daerah: Program Bergizi yang Kini Dikhawatirkan - NTT Hits,False
86c6227bc664,https://www.cnnindonesia.com/nasional/20250429174012-20-1223999/kepala-sekolah-dan-dua-siswa-di-karanganyar-diduga-keracunan-mbg,https://www.cnnindonesia.com/nasional/20250429174012-20-1223999/kepala-sekolah-dan-dua-siswa-di-karanganyar-diduga-keracunan-mbg,2025-04-24,2025-04-29,5,Kepala Sekolah dan Dua Siswa di Karanganyar Diduga Keracunan MBG,False
edf3d29c2e88,https://www.viva.co.id/berita/nasional/1821155-ratusan-siswa-keracunan-program-mbg-di-pali-sumatera-selatan-disetop-sementara?page=1,https://www.viva.co.id/berita/nasional/1821155-ratusan-siswa-keracunan-program-mbg-di-pali-sumatera-selatan-disetop-sementara?page=1,2025-05-05,2025-05-07,2,"Ratusan Siswa Keracunan, Program MBG di PALI Sumatera Selatan Disetop Sementara",False
8285d0076d4e,https://www.detik.com/bali/nusra/d-7907093/5-siswa-lombok-tengah-keracunan-menu-mbg-ada-bakteri-e-coli-di-telur,https://www.detik.com/bali/nusra/d-7907093/5-siswa-lombok-tengah-keracunan-menu-mbg-ada-bakteri-e-coli-di-telur,2025-04-23,2025-05-09,16,"5 Siswa Lombok Tengah Keracunan Menu MBG, Ada Bakteri E-Coli di Telur",False
e90765994401,https://surabaya.kompas.com/read/2026/05/24/101632678/diduga-abaikan-edaran-bgn-dan-buat-25-anak-di-jember-keracunan-sppg?page=all,https://surabaya.kompas.com/read/2026/05/24/101632678/diduga-abaikan-edaran-bgn-dan-buat-25-anak-di-jember-keracunan-sppg?page=all,2026-05-20,2025-05-24,-361,"Diduga Abaikan Edaran BGN dan Buat 25 Anak di Jember Keracunan, SPPG Kaliwates 3 Terancam Ditutup",False
5c72bbbc5a08,https://joglosemarnews.com/2025/06/diare-massal-di-tk-aba-kasatriyan-kulonprogo-bakmi-mbg-diduga-jadi-pemicu/,https://joglosemarnews.com/2025/06/diare-massal-di-tk-aba-kasatriyan-kulonprogo-bakmi-mbg-diduga-jadi-pemicu/,2025-06-17,2025-06-21,4,"Diare Massal di TK ABA Kasatriyan Kulonprogo, Bakmi MBG Diduga Jadi Pemicu » JOGLOSEMAR NEWS",False
76ffce7b239b,https://www.kompas.id/artikel/mereka-lemas-keracunan-mbg-di-samping-balai-kota-kupang,https://www.kompas.id/artikel/mereka-lemas-keracunan-mbg-di-samping-balai-kota-kupang,2025-07-22,2025-07-22,0,Mereka Lemas Keracunan Paket MBG di Samping Balai Kota Kupang,False
a191b3a05e29,https://www.kadera.id/2025/07/27/diduga-keracunan-mbg-sampel-darah-17-siswa-smkn-5-ternate-diperiksa/,https://www.kadera.id/2025/07/27/diduga-keracunan-mbg-sampel-darah-17-siswa-smkn-5-ternate-diperiksa/,2025-07-22,2025-07-27,5,"Diduga Keracunan MBG, Sampel Darah 17 Siswa SMKN 5 Ternate Diperiksa",False
0c55465a87bf,https://kuninganmass.com/setelah-makan-siang-gratis-puluhan-siswa-smpn-1-cilimus-sakit-perut/,https://kuninganmass.com/setelah-makan-siang-gratis-puluhan-siswa-smpn-1-cilimus-sakit-perut/,2025-07-31,2025-07-31,0,"Setelah Makan Siang Gratis, Puluhan Siswa SMPN 1 Cilimus Sakit Perut - Kuningan Mass",False
a65d6e05f203,https://koran-jakarta.com/2025-07-31/ombudsman-selidiki-dapur-mbg-usai-insiden-keracunan-makanan-di-manokwari,https://koran-jakarta.com/2025-07-31/ombudsman-selidiki-dapur-mbg-usai-insiden-keracunan-makanan-di-manokwari,2025-07-30,2025-07-31,1,Ombudsman Selidiki Dapur MBG Usai Insiden Keracunan Makanan di Manokwari,False
d74247c673b8,https://www.detik.com/jabar/berita/d-8049711/32-pelajar-sukabumi-keracunan-sampel-makanan-dikirim-ke-lab,https://www.detik.com/jabar/berita/d-8049711/32-pelajar-sukabumi-keracunan-sampel-makanan-dikirim-ke-lab,2025-08-06,2025-08-07,1,"32 Pelajar Sukabumi Keracunan, Sampel Makanan Dikirim ke Lab",False
44f10f3e9ed5,https://www.liputan6.com/regional/read/6130634/18-siswa-di-lampung-mual-hingga-lemas-usai-santap-lele-disdikbud-perketat-pengawasan-mbg,https://www.liputan6.com/regional/read/6130634/18-siswa-di-lampung-mual-hingga-lemas-usai-santap-lele-disdikbud-perketat-pengawasan-mbg,2025-08-06,2025-08-12,6,"18 Siswa di Lampung Mual hingga Lemas Usai Santap Lele, Disdikbud Perketat Pengawasan MBG",False
131c33e1bf39,https://yogyakarta.kompas.com/read/2025/08/20/164930478/497-siswa-kulon-progo-keracunan-3-jenis-bakteri-berbahaya-ditemukan-di,https://yogyakarta.kompas.com/read/2025/08/20/164930478/497-siswa-kulon-progo-keracunan-3-jenis-bakteri-berbahaya-ditemukan-di,2025-07-31,2025-08-20,20,"497 Siswa Kulon Progo Keracunan, 3 Jenis Bakteri Berbahaya Ditemukan di Menu MBG",False
aa6f25918e22,https://radarlombok.co.id/siswa-smk-diduga-keracunan-usai-santap-mbg.html,https://radarlombok.co.id/siswa-smk-diduga-keracunan-usai-santap-mbg.html,2025-08-19,2025-08-21,2,Siswa SMK Diduga Keracunan Usai Santap MBG,False
b85502fbb0ac,https://www.detik.com/jabar/berita/d-8072825/12-santriwati-di-cianjur-dibawa-ke-rs-diduga-keracunan-makanan-mbg,https://www.detik.com/jabar/berita/d-8072825/12-santriwati-di-cianjur-dibawa-ke-rs-diduga-keracunan-makanan-mbg,2025-08-20,2025-08-21,1,"12 Santriwati di Cianjur Dibawa ke RS, Diduga Keracunan Makanan MBG",False
35759a5ff594,https://www.detik.com/jabar/berita/d-8074457/kronologi-24-siswa-sd-parakansalak-keracunan-usai-santap-mbg,https://www.detik.com/jabar/berita/d-8074457/kronologi-24-siswa-sd-parakansalak-keracunan-usai-santap-mbg,2025-08-22,2025-08-22,0,Kronologi 24 Siswa SD Parakansalak Keracunan Usai Santap MBG,False
e64e57e5584b,https://jabarekspres.com/berita/2025/08/22/12-siswa-sdn-legokhayam-cimenyan-alami-keracunan-diduga-dari-makanan-program-mbg/,https://jabarekspres.com/berita/2025/08/22/12-siswa-sdn-legokhayam-cimenyan-alami-keracunan-diduga-dari-makanan-program-mbg/,2025-08-21,2025-08-22,1,"12 Siswa SDN Legokhayam Cimenyan Alami Keracunan, Diduga dari Makanan Program MBG!",False
c3cd0eed3e8b,https://www.detik.com/jogja/berita/d-8081852/135-siswa-2-guru-smpn-3-berbah-sleman-diduga-keracunan-mbg,https://www.detik.com/jogja/berita/d-8081852/135-siswa-2-guru-smpn-3-berbah-sleman-diduga-keracunan-mbg,2025-08-27,2025-08-27,0,135 Siswa-2 Guru SMPN 3 Berbah Sleman Diduga Keracunan MBG,False
b376cecd8a9d,https://lampung.inews.id/berita/40-siswa-smp-di-lampung-timur-diduga-keracunan-mbg-31-dirawat-inap,https://lampung.inews.id/berita/40-siswa-smp-di-lampung-timur-diduga-keracunan-mbg-31-dirawat-inap,2025-08-26,2025-08-28,2,"40 Siswa SMP di Lampung Timur Diduga Keracunan MBG, 31 Dirawat Inap",False
f7590539b83a,https://lampost.co/lampung/16-pelajar-lampung-utara-keracunan-makan-bergizi-gratis/,https://lampost.co/lampung/16-pelajar-lampung-utara-keracunan-makan-bergizi-gratis/,2025-08-29,2025-08-30,1,16 Pelajar Lampung Utara Keracunan Makan Bergizi Gratis,False
b07d66336b34,https://indonesiainvestigasi.com/orang-tua-murid-meminta-polda-lampung-periksa-dan-proses-yayasan-penyedia-mbg-yang-menyebabkan-puluhan-murid-mengalami-keracunan-massal/31/,https://indonesiainvestigasi.com/orang-tua-murid-meminta-polda-lampung-periksa-dan-proses-yayasan-penyedia-mbg-yang-menyebabkan-puluhan-murid-mengalami-keracunan-massal/31/,2025-08-29,2025-08-31,2,"Orang Tua Murid, Meminta Polda Lampung Periksa dan Proses Yayasan Penyedia MBG, Yang Menyebabkan Puluhan Murid Mengalami Keracunan Massal - Indonesia Investigasi",False
13d5be3544ea,https://www.iniriau.com/detail/48677/orang-tua-siswa-resah-usai-insiden-keracunan-mbg-di-bangkinang,https://www.iniriau.com/detail/48677/orang-tua-siswa-resah-usai-insiden-keracunan-mbg-di-bangkinang,2025-08-28,2025-09-02,5,Orang Tua Siswa Resah Usai Insiden Keracunan MBG di Bangkinang,False
c15831d0fe51,https://www.detik.com/bali/nusra/d-8095139/17-siswa-di-lombok-barat-diduga-keracunan-mbg-sempat-dibawa-ke-puskesmas,https://www.detik.com/bali/nusra/d-8095139/17-siswa-di-lombok-barat-diduga-keracunan-mbg-sempat-dibawa-ke-puskesmas,2025-09-03,2025-09-03,0,"17 Siswa di Lombok Barat Diduga Keracunan MBG, Sempat Dibawa ke Puskesmas",False
056f1cfe4980,https://www.inews.id/news/nasional/27-siswa-smp-di-serang-banten-diduga-keracunan-mbg-gejala-mual-hingga-diare,https://www.inews.id/news/nasional/27-siswa-smp-di-serang-banten-diduga-keracunan-mbg-gejala-mual-hingga-diare,2025-09-02,2025-09-04,2,"27 Siswa SMP di Serang Banten Diduga Keracunan MBG, Gejala Mual hingga Diare",False
