kode,provinsi_kode,provinsi,nama,lat,lng,luas_km2,penduduk
11.01,11,Aceh,Kabupaten Aceh Selatan,3.2548016392931354,97.17411233973566,4174.211,239629
11.02,11,Aceh,Kabupaten Aceh Tenggara,3.473359853097982,97.81924348302599,4179.123,235589
11.03,11,Aceh,Kabupaten Aceh Timur,4.932736888548549,97.7838443591112,5409.158,461391
11.04,11,Aceh,Kabupaten Aceh Tengah,4.622057187598997,96.84566791108571,4468.417,232606
11.05,11,Aceh,Kabupaten Aceh Barat,4.15301021563362,96.1314406676852,2782.606,209220
11.06,11,Aceh,Kabupaten Aceh Besar,5.2973395526628515,95.61087103885502,2891.227,442987
11.07,11,Aceh,Kabupaten Pidie,5.367600459124008,95.95788011001953,3177.063,451076
11.08,11,Aceh,Kabupaten Aceh Utara,5.07571569194339,97.30262386768965,2705.045,641007
11.09,11,Aceh,Kabupaten Simeulue,2.4614125527223116,96.38037739836625,1828.851,96812
11.10,11,Aceh,Kabupaten Aceh Singkil,2.2710939677616295,97.81532536767888,NULL,140461
11.11,11,Aceh,Kabupaten Bireuen,5.207564894628741,96.72640339652622,1796.959,468696
11.12,11,Aceh,Kabupaten Aceh Barat Daya,3.7391033250335153,96.85150507428492,1882.054,156128
11.13,11,Aceh,Kabupaten Gayo Lues,3.993465184564387,97.32450169161383,5541.285,107506
11.14,11,Aceh,Kabupaten Aceh Jaya,4.624131830287506,95.61681174202448,3870.566,101407
11.15,11,Aceh,Kabupaten Nagan Raya,4.169426810266828,96.32437393884945,3523.283,181103
11.16,11,Aceh,Kabupaten Aceh Tamiang,4.301275755472272,98.04571548117825,2187.817,312061
11.17,11,Aceh,Kabupaten Bener Meriah,4.702762114549044,96.86195266768776,1907.399,181376
11.18,11,Aceh,Kabupaten Pidie Jaya,5.2288994377471605,96.24475688303401,938.868,166517
11.71,11,Aceh,Kota Banda Aceh,5.550049859538454,95.31782669652819,56.835,265310
11.72,11,Aceh,Kota Sabang,5.892656382959924,95.32111719653021,121.867,42793
11.73,11,Aceh,Kota Lhokseumawe,5.179363622042538,97.14894011186956,132.966,198705
11.74,11,Aceh,Kota Langsa,4.46948210581997,97.96644605234316,224.203,183914
11.75,11,Aceh,Kota Subulussalam,2.6707917619957486,97.99301166767994,1183.601,107185
12.01,12,Sumatera Utara,Kabupaten Tapanuli Tengah,1.684690341229827,98.82771720471466,2307.716,369482
12.02,12,Sumatera Utara,Kabupaten Tapanuli Utara,2.0218496600101576,98.96179136764661,3895.604,331475
12.03,12,Sumatera Utara,Kabupaten Tapanuli Selatan,1.519661925116435,99.30284312257872,4201.354,324565
12.04,12,Sumatera Utara,Kabupaten Nias,1.2417545046363359,97.64991802740695,902.599,147989
12.05,12,Sumatera Utara,Kabupaten Langkat,3.7426864805785707,98.44753521807361,6142.072,1120709
12.06,12,Sumatera Utara,Kabupaten Karo,3.110679693532461,98.5013348785831,2206.876,422495
12.07,12,Sumatera Utara,Kabupaten Deli Serdang,3.550718941711028,98.86644224023665,2581.482,2080408
12.08,12,Sumatera Utara,Kabupaten Simalungun,2.9653486091382972,98.86209969919715,4601.477,1004303
12.09,12,Sumatera Utara,Kabupaten Asahan,2.9881057835467244,99.61283578690154,3738.42,799451
12.10,12,Sumatera Utara,Kabupaten Labuhanbatu,2.070089999362207,99.85708629199812,NULL,513010
12.11,12,Sumatera Utara,Kabupaten Dairi,2.7479672571598934,98.31396934594967,2083.604,333335
12.12,12,Sumatera Utara,Kabupaten Toba,2.3318009358602985,99.05102147349844,2291.616,220508
12.13,12,Sumatera Utara,Kabupaten Mandailing Natal,0.7967262645602773,99.57880901075687,6546.567,501618
12.14,12,Sumatera Utara,Kabupaten Nias Selatan,0.5833773193046318,97.7778846860258,2531.59,369817
12.15,12,Sumatera Utara,Kabupaten Pakpak Bharat,2.541054180498141,98.32258850116699,1365.607,57280
12.16,12,Sumatera Utara,Kabupaten Humbang Hasundutan,2.250279290484845,98.79045401025103,2351.514,211022
12.17,12,Sumatera Utara,Kabupaten Samosir,2.5598708852610876,98.7223886458626,1850.035,149875
12.18,12,Sumatera Utara,Kabupaten Serdang Bedagai,3.4912650864166386,99.12592027625313,1949.978,696845
12.19,12,Sumatera Utara,Kabupaten Batu Bara,3.1717751880433394,99.4209807063729,888.676,474832
12.20,12,Sumatera Utara,Kabupaten Padang Lawas Utara,1.4945493942995707,99.61970881122626,NULL,273586
12.21,12,Sumatera Utara,Kabupaten Padang Lawas,1.0555897761779505,99.77552008687299,3914.413,271274
12.22,12,Sumatera Utara,Kabupaten Labuhanbatu Selatan,1.8682211662701844,100.04114555938138,3079.61,332459
12.23,12,Sumatera Utara,Kabupaten Labuhanbatu Utara,2.5628487863896083,99.65806864456648,3687.179,399306
12.24,12,Sumatera Utara,Kabupaten Nias Utara,1.389322425641782,97.38136186409508,1239.502,153338
12.25,12,Sumatera Utara,Kabupaten Nias Barat,0.9989625537417939,97.49525171290033,464.65,97526
12.71,12,Sumatera Utara,Kota Medan,3.5902455275064686,98.67497243281954,279.239,2546452
12.72,12,Sumatera Utara,Kota Pematangsiantar,2.956496281855757,99.06182098647018,75.919,279772
12.73,12,Sumatera Utara,Kota Sibolga,1.7460206351072023,98.77558765380772,12.645,100282
12.74,12,Sumatera Utara,Kota Tanjungbalai,2.9477544593720797,99.76671856261935,60.072,187939
12.75,12,Sumatera Utara,Kota Binjai,3.6029774611853127,98.48318146773616,93.77,315609
12.76,12,Sumatera Utara,Kota Tebing Tinggi,3.3275651079027178,99.16631751787298,39.17,184064
12.77,12,Sumatera Utara,Kota Padangsidimpuan,1.3776451726865724,99.27144601728223,159.298,231982
12.78,12,Sumatera Utara,Kota Gunungsitoli,1.2826405556021396,97.61346302920929,208.742,138297
13.01,13,Sumatera Barat,Kabupaten Pesisir Selatan,-1.3480157543827396,100.57771703088352,6045.676,533786
13.02,13,Sumatera Barat,Kabupaten Solok,-0.9515709623485049,100.621363864246,3590.404,413075
13.03,13,Sumatera Barat,Kabupaten Sijunjung,-0.6657814625085021,100.94461003602282,3150.58,247323
13.04,13,Sumatera Barat,Kabupaten Tanah Datar,-0.47436500293745626,100.62341833230498,1377.186,382674
13.05,13,Sumatera Barat,Kabupaten Padang Pariaman,-0.6209981455774217,100.30654186745963,1341.879,458310
13.06,13,Sumatera Barat,Kabupaten Agam,-0.3151932364711986,100.02965550313753,2225.34,533254
13.07,13,Sumatera Barat,Kabupaten Lima Puluh Kota,-0.1523939738781051,100.66073826825613,3273.405,402788
13.08,13,Sumatera Barat,Kabupaten Pasaman,0.14039088869184965,100.16698745256477,3902.444,313837
13.09,13,Sumatera Barat,Kabupaten Kepulauan Mentawai,-2.054155901765037,99.58047028483205,5973.917,97837
