kabkota,kecamatan,level_portal,npsn,school,address,kelurahan,status,profile
Kabupaten Bandung Barat,Rongga,dikdas,60709600,MIS AL-FAJRI,Kp. Lampegan RT. 02/12,Sukamanah,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709600
Kabupaten Bandung Barat,Rongga,dikdas,60709606,MIS AL-HIDAYAH RONGGA,Kp. Ciseupan RT. 04/04,Cibedug,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709606
Kabupaten Bandung Barat,Rongga,dikdas,60709609,MIS AL-IRFAN,KP.LEBAKMUNCANG RT.01.RW.02,Cibedug,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709609
Kabupaten Bandung Barat,Rongga,dikdas,60709608,MIS AL-MUBAROKAH,Kp Cicadas II RT 02 RW 09,Sukamanah,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709608
Kabupaten Bandung Barat,Rongga,dikdas,69819527,MIS Al-Muhtadin,Kp. Soreang RT 02 RW 10 Ds. Cibitung,Cibitung,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/69819527
Kabupaten Bandung Barat,Rongga,dikdas,60709607,MIS AL-MUNAWAROH,Kp.Cikupa RT.03/06,Cicadas,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709607
Kabupaten Bandung Barat,Rongga,dikdas,60709601,MIS BOJONG,Kp. Haurwangi rt 05 rw 03,Kec. Rongga,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709601
Kabupaten Bandung Barat,Rongga,dikdas,60709602,MIS CANGKUANG,Kp. Langkob Rt 03/04,Kec. Rongga,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709602
Kabupaten Bandung Barat,Rongga,dikdas,60709603,MIS CIBITUNG,Kp. Cilengsar RT. 01/09,Sukaresmi,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709603
Kabupaten Bandung Barat,Rongga,dikdas,60709604,MIS MUSLIMIN CINENGAH,Kp. Wargasaluyu RT.01 RW.17 Ds. Cinengah,Cinengah,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709604
Kabupaten Bandung Barat,Rongga,dikdas,60709610,MIS PASIR BANDUNG,KP.RANCA RT.03/13,Cibitung,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709610
Kabupaten Bandung Barat,Rongga,dikdas,60709605,MIS RASAMALA,Kp. Neglasari RT 02 RW 08,Bojongsalam,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/60709605
Kabupaten Bandung Barat,Rongga,dikdas,69983099,MTSS AL MUBARKAH,Kp. Pasir Buleud RT 02 RW 04,Cinengah,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/69983099
Kabupaten Bandung Barat,Rongga,dikdas,20276204,MTSS AL-IKHLAS BABAKANTALANG,Kp. Babakantalang Rt 03 Rw 01,Kec. Rongga,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20276204
Kabupaten Bandung Barat,Rongga,dikdas,20279484,MTSS AL-MUNAWAROH,Kp. Cikupa Rt 03 Rw 06,Kec. Rongga,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20279484
