kabkota,kecamatan,level_portal,npsn,school,address,kelurahan,status,profile
Kabupaten Bantul,Srandakan,dikdas,20400545,MIS MA`ARIF SAMBENG,SAMBENG III,Poncosari,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400545
Kabupaten Bantul,Srandakan,dikdas,20400543,MIS MUHAMADIYAH JRAGAN,JRAGAN II,Poncosari,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400543
Kabupaten Bantul,Srandakan,dikdas,20400597,SD MUHAMMADIYAH BABAKAN,"Babakan, Poncosari,srandakan",Poncosari,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400597
Kabupaten Bantul,Srandakan,dikdas,20400603,SD MUHAMMADIYAH BENDO,"Bendo, Trimurti,srandakan",Trimurti,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400603
Kabupaten Bantul,Srandakan,dikdas,20400541,SD MUHAMMADIYAH GERSO,"Gerso, Trimurti, Srandakan, Bantul Kode Pos 55762",Trimurti,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400541
Kabupaten Bantul,Srandakan,dikdas,20400498,SD MUHAMMADIYAH GUNTURGENI,"Gunturgeni, Poncosari,srandakan",Poncosari,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400498
Kabupaten Bantul,Srandakan,dikdas,20400463,SD MUHAMMADIYAH SAMBENG,Sambeng 1,Poncosari,SWASTA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400463
Kabupaten Bantul,Srandakan,dikdas,20400529,SD NEGERI 1 GODEGAN,"Godegan, Trimurti, Srandakan, Bantul",Trimurti,NEGERI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400529
Kabupaten Bantul,Srandakan,dikdas,20400743,SD NEGERI 1 SRANDAKAN,"Srandakan, RT 2 Trimurti,Srandakan",Trimurti,NEGERI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400743
Kabupaten Bantul,Srandakan,dikdas,20400669,SD NEGERI 2 SRANDAKAN,"Srandakan, Trimurti, Srandakan",Trimurti,NEGERI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400669
Kabupaten Bantul,Srandakan,dikdas,20400693,SD NEGERI GUNUNGSAREN,"Gunungsaren, Trimurti,srandakan",Trimurti,NEGERI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400693
Kabupaten Bantul,Srandakan,dikdas,20400207,SD NEGERI KORIPAN,"Koripan, Poncosari, Srandakan",Poncosari,NEGERI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400207
Kabupaten Bantul,Srandakan,dikdas,20400213,SD NEGERI KRAJAN,"Krajan, Poncosari,srandakan",Poncosari,NEGERI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20400213
